mixture_ID,mixture_path,source_1_path,source_2_path,length
1578-6379-0038_6415-111615-0009,/home/mkeller/data/librimix/Libri2Mix/wav8k/min/train-100/mix_clean/1578-6379-0038_6415-111615-0009.wav,/home/mkeller/data/librimix/Libri2Mix/wav8k/min/train-100/s1/1578-6379-0038_6415-111615-0009.wav,/home/mkeller/data/librimix/Libri2Mix/wav8k/min/train-100/s2/1578-6379-0038_6415-111615-0009.wav,53560
3440-171009-0023_2911-12359-0019,/home/mkeller/data/librimix/Libri2Mix/wav8k/min/train-100/mix_clean/3440-171009-0023_2911-12359-0019.wav,/home/mkeller/data/librimix/Libri2Mix/wav8k/min/train-100/s1/3440-171009-0023_2911-12359-0019.wav,/home/mkeller/data/librimix/Libri2Mix/wav8k/min/train-100/s2/3440-171009-0023_2911-12359-0019.wav,119720
2817-142371-0020_5393-19218-0035,/home/mkeller/data/librimix/Libri2Mix/wav8k/min/train-100/mix_clean/2817-142371-0020_5393-19218-0035.wav,/home/mkeller/data/librimix/Libri2Mix/wav8k/min/train-100/s1/2817-142371-0020_5393-19218-0035.wav,/home/mkeller/data/librimix/Libri2Mix/wav8k/min/train-100/s2/2817-142371-0020_5393-19218-0035.wav,90280
7367-86737-0104_7402-90848-0037,/home/mkeller/data/librimix/Libri2Mix/wav8k/min/train-100/mix_clean/7367-86737-0104_7402-90848-0037.wav,/home/mkeller/data/librimix/Libri2Mix/wav8k/min/train-100/s1/7367-86737-0104_7402-90848-0037.wav,/home/mkeller/data/librimix/Libri2Mix/wav8k/min/train-100/s2/7367-86737-0104_7402-90848-0037.wav,117760
2007-149877-0058_2092-145706-0072,/home/mkeller/data/librimix/Libri2Mix/wav8k/min/train-100/mix_clean/2007-149877-0058_2092-145706-0072.wav,/home/mkeller/data/librimix/Libri2Mix/wav8k/min/train-100/s1/2007-149877-0058_2092-145706-0072.wav,/home/mkeller/data/librimix/Libri2Mix/wav8k/min/train-100/s2/2007-149877-0058_2092-145706-0072.wav,109560
1040-133433-0040_1455-138263-0032,/home/mkeller/data/librimix/Libri2Mix/wav8k/min/train-100/mix_clean/1040-133433-0040_1455-138263-0032.wav,/home/mkeller/data/librimix/Libri2Mix/wav8k/min/train-100/s1/1040-133433-0040_1455-138263-0032.wav,/home/mkeller/data/librimix/Libri2Mix/wav8k/min/train-100/s2/1040-133433-0040_1455-138263-0032.wav,105040
3259-158083-0087_3607-135982-0031,/home/mkeller/data/librimix/Libri2Mix/wav8k/min/train-100/mix_clean/3259-158083-0087_3607-135982-0031.wav,/home/mkeller/data/librimix/Libri2Mix/wav8k/min/train-100/s1/3259-158083-0087_3607-135982-0031.wav,/home/mkeller/data/librimix/Libri2Mix/wav8k/min/train-100/s2/3259-158083-0087_3607-135982-0031.wav,123280
4680-16026-0034_3112-9554-0020,/home/mkeller/data/librimix/Libri2Mix/wav8k/min/train-100/mix_clean/4680-16026-0034_3112-9554-0020.wav,/home/mkeller/data/librimix/Libri2Mix/wav8k/min/train-100/s1/4680-16026-0034_3112-9554-0020.wav,/home/mkeller/data/librimix/Libri2Mix/wav8k/min/train-100/s2/4680-16026-0034_3112-9554-0020.wav,74560
6848-252323-0013_1235-135884-0040,/home/mkeller/data/librimix/Libri2Mix/wav8k/min/train-100/mix_clean/6848-252323-0013_1235-135884-0040.wav,/home/mkeller/data/librimix/Libri2Mix/wav8k/min/train-100/s1/6848-252323-0013_1235-135884-0040.wav,/home/mkeller/data/librimix/Libri2Mix/wav8k/min/train-100/s2/6848-252323-0013_1235-135884-0040.wav,123680
89-218-0030_412-126975-0087,/home/mkeller/data/librimix/Libri2Mix/wav8k/min/train-100/mix_clean/89-218-0030_412-126975-0087.wav,/home/mkeller/data/librimix/Libri2Mix/wav8k/min/train-100/s1/89-218-0030_412-126975-0087.wav,/home/mkeller/data/librimix/Libri2Mix/wav8k/min/train-100/s2/89-218-0030_412-126975-0087.wav,97960
831-130739-0007_2952-408-0008,/home/mkeller/data/librimix/Libri2Mix/wav8k/min/train-100/mix_clean/831-130739-0007_2952-408-0008.wav,/home/mkeller/data/librimix/Libri2Mix/wav8k/min/train-100/s1/831-130739-0007_2952-408-0008.wav,/home/mkeller/data/librimix/Libri2Mix/wav8k/min/train-100/s2/831-130739-0007_2952-408-0008.wav,79120
87-121553-0098_2764-36616-0006,/home/mkeller/data/librimix/Libri2Mix/wav8k/min/train-100/mix_clean/87-121553-0098_2764-36616-0006.wav,/home/mkeller/data/librimix/Libri2Mix/wav8k/min/train-100/s1/87-121553-0098_2764-36616-0006.wav,/home/mkeller/data/librimix/Libri2Mix/wav8k/min/train-100/s2/87-121553-0098_2764-36616-0006.wav,34520
8312-279791-0040_3983-5371-0004,/home/mkeller/data/librimix/Libri2Mix/wav8k/min/train-100/mix_clean/8312-279791-0040_3983-5371-0004.wav,/home/mkeller/data/librimix/Libri2Mix/wav8k/min/train-100/s1/8312-279791-0040_3983-5371-0004.wav,/home/mkeller/data/librimix/Libri2Mix/wav8k/min/train-100/s2/8312-279791-0040_3983-5371-0004.wav,123520
625-132112-0052_7800-283478-0014,/home/mkeller/data/librimix/Libri2Mix/wav8k/min/train-100/mix_clean/625-132112-0052_7800-283478-0014.wav,/home/mkeller/data/librimix/Libri2Mix/wav8k/min/train-100/s1/625-132112-0052_7800-283478-0014.wav,/home/mkeller/data/librimix/Libri2Mix/wav8k/min/train-100/s2/625-132112-0052_7800-283478-0014.wav,96560
6476-57446-0029_1447-130550-0026,/home/mkeller/data/librimix/Libri2Mix/wav8k/min/train-100/mix_clean/6476-57446-0029_1447-130550-0026.wav,/home/mkeller/data/librimix/Libri2Mix/wav8k/min/train-100/s1/6476-57446-0029_1447-130550-0026.wav,/home/mkeller/data/librimix/Libri2Mix/wav8k/min/train-100/s2/6476-57446-0029_1447-130550-0026.wav,29360
3723-171115-0015_3112-9555-0091,/home/mkeller/data/librimix/Libri2Mix/wav8k/min/train-100/mix_clean/3723-171115-0015_3112-9555-0091.wav,/home/mkeller/data/librimix/Libri2Mix/wav8k/min/train-100/s1/3723-171115-0015_3112-9555-0091.wav,/home/mkeller/data/librimix/Libri2Mix/wav8k/min/train-100/s2/3723-171115-0015_3112-9555-0091.wav,51520
19-198-0036_6818-68772-0039,/home/mkeller/data/librimix/Libri2Mix/wav8k/min/train-100/mix_clean/19-198-0036_6818-68772-0039.wav,/home/mkeller/data/librimix/Libri2Mix/wav8k/min/train-100/s1/19-198-0036_6818-68772-0039.wav,/home/mkeller/data/librimix/Libri2Mix/wav8k/min/train-100/s2/19-198-0036_6818-68772-0039.wav,104160
5049-25947-0112_3486-166424-0064,/home/mkeller/data/librimix/Libri2Mix/wav8k/min/train-100/mix_clean/5049-25947-0112_3486-166424-0064.wav,/home/mkeller/data/librimix/Libri2Mix/wav8k/min/train-100/s1/5049-25947-0112_3486-166424-0064.wav,/home/mkeller/data/librimix/Libri2Mix/wav8k/min/train-100/s2/5049-25947-0112_3486-166424-0064.wav,60520
6209-34601-0016_6415-100596-0035,/home/mkeller/data/librimix/Libri2Mix/wav8k/min/train-100/mix_clean/6209-34601-0016_6415-100596-0035.wav,/home/mkeller/data/librimix/Libri2Mix/wav8k/min/train-100/s1/6209-34601-0016_6415-100596-0035.wav,/home/mkeller/data/librimix/Libri2Mix/wav8k/min/train-100/s2/6209-34601-0016_6415-100596-0035.wav,105960
211-122442-0071_32-21631-0011,/home/mkeller/data/librimix/Libri2Mix/wav8k/min/train-100/mix_clean/211-122442-0071_32-21631-0011.wav,/home/mkeller/data/librimix/Libri2Mix/wav8k/min/train-100/s1/211-122442-0071_32-21631-0011.wav,/home/mkeller/data/librimix/Libri2Mix/wav8k/min/train-100/s2/211-122442-0071_32-21631-0011.wav,30920
1334-135589-0052_19-227-0012,/home/mkeller/data/librimix/Libri2Mix/wav8k/min/train-100/mix_clean/1334-135589-0052_19-227-0012.wav,/home/mkeller/data/librimix/Libri2Mix/wav8k/min/train-100/s1/1334-135589-0052_19-227-0012.wav,/home/mkeller/data/librimix/Libri2Mix/wav8k/min/train-100/s2/1334-135589-0052_19-227-0012.wav,100400
8630-305212-0040_163-122947-0047,/home/mkeller/data/librimix/Libri2Mix/wav8k/min/train-100/mix_clean/8630-305212-0040_163-122947-0047.wav,/home/mkeller/data/librimix/Libri2Mix/wav8k/min/train-100/s1/8630-305212-0040_163-122947-0047.wav,/home/mkeller/data/librimix/Libri2Mix/wav8k/min/train-100/s2/8630-305212-0040_163-122947-0047.wav,107880
4859-29340-0028_3699-47246-0009,/home/mkeller/data/librimix/Libri2Mix/wav8k/min/train-100/mix_clean/4859-29340-0028_3699-47246-0009.wav,/home/mkeller/data/librimix/Libri2Mix/wav8k/min/train-100/s1/4859-29340-0028_3699-47246-0009.wav,/home/mkeller/data/librimix/Libri2Mix/wav8k/min/train-100/s2/4859-29340-0028_3699-47246-0009.wav,96400
163-121908-0003_5789-57195-0004,/home/mkeller/data/librimix/Libri2Mix/wav8k/min/train-100/mix_clean/163-121908-0003_5789-57195-0004.wav,/home/mkeller/data/librimix/Libri2Mix/wav8k/min/train-100/s1/163-121908-0003_5789-57195-0004.wav,/home/mkeller/data/librimix/Libri2Mix/wav8k/min/train-100/s2/163-121908-0003_5789-57195-0004.wav,115440
1737-148989-0034_1447-130550-0014,/home/mkeller/data/librimix/Libri2Mix/wav8k/min/train-100/mix_clean/1737-148989-0034_1447-130550-0014.wav,/home/mkeller/data/librimix/Libri2Mix/wav8k/min/train-100/s1/1737-148989-0034_1447-130550-0014.wav,/home/mkeller/data/librimix/Libri2Mix/wav8k/min/train-100/s2/1737-148989-0034_1447-130550-0014.wav,99880
8747-293952-0007_6476-57446-0065,/home/mkeller/data/librimix/Libri2Mix/wav8k/min/train-100/mix_clean/8747-293952-0007_6476-57446-0065.wav,/home/mkeller/data/librimix/Libri2Mix/wav8k/min/train-100/s1/8747-293952-0007_6476-57446-0065.wav,/home/mkeller/data/librimix/Libri2Mix/wav8k/min/train-100/s2/8747-293952-0007_6476-57446-0065.wav,115840
5022-29405-0028_7859-102519-0045,/home/mkeller/data/librimix/Libri2Mix/wav8k/min/train-100/mix_clean/5022-29405-0028_7859-102519-0045.wav,/home/mkeller/data/librimix/Libri2Mix/wav8k/min/train-100/s1/5022-29405-0028_7859-102519-0045.wav,/home/mkeller/data/librimix/Libri2Mix/wav8k/min/train-100/s2/5022-29405-0028_7859-102519-0045.wav,89960
32-4137-0036_233-134440-0004,/home/mkeller/data/librimix/Libri2Mix/wav8k/min/train-100/mix_clean/32-4137-0036_233-134440-0004.wav,/home/mkeller/data/librimix/Libri2Mix/wav8k/min/train-100/s1/32-4137-0036_233-134440-0004.wav,/home/mkeller/data/librimix/Libri2Mix/wav8k/min/train-100/s2/32-4137-0036_233-134440-0004.wav,104561
7113-86041-0082_8425-292520-0010,/home/mkeller/data/librimix/Libri2Mix/wav8k/min/train-100/mix_clean/7113-86041-0082_8425-292520-0010.wav,/home/mkeller/data/librimix/Libri2Mix/wav8k/min/train-100/s1/7113-86041-0082_8425-292520-0010.wav,/home/mkeller/data/librimix/Libri2Mix/wav8k/min/train-100/s2/7113-86041-0082_8425-292520-0010.wav,118840
8095-274346-0046_1502-122619-0096,/home/mkeller/data/librimix/Libri2Mix/wav8k/min/train-100/mix_clean/8095-274346-0046_1502-122619-0096.wav,/home/mkeller/data/librimix/Libri2Mix/wav8k/min/train-100/s1/8095-274346-0046_1502-122619-0096.wav,/home/mkeller/data/librimix/Libri2Mix/wav8k/min/train-100/s2/8095-274346-0046_1502-122619-0096.wav,82520
5390-30096-0006_7113-86041-0064,/home/mkeller/data/librimix/Libri2Mix/wav8k/min/train-100/mix_clean/5390-30096-0006_7113-86041-0064.wav,/home/mkeller/data/librimix/Libri2Mix/wav8k/min/train-100/s1/5390-30096-0006_7113-86041-0064.wav,/home/mkeller/data/librimix/Libri2Mix/wav8k/min/train-100/s2/5390-30096-0006_7113-86041-0064.wav,95880
1040-133433-0015_2836-5355-0004,/home/mkeller/data/librimix/Libri2Mix/wav8k/min/train-100/mix_clean/1040-133433-0015_2836-5355-0004.wav,/home/mkeller/data/librimix/Libri2Mix/wav8k/min/train-100/s1/1040-133433-0015_2836-5355-0004.wav,/home/mkeller/data/librimix/Libri2Mix/wav8k/min/train-100/s2/1040-133433-0015_2836-5355-0004.wav,40240
311-124404-0082_125-121124-0011,/home/mkeller/data/librimix/Libri2Mix/wav8k/min/train-100/mix_clean/311-124404-0082_125-121124-0011.wav,/home/mkeller/data/librimix/Libri2Mix/wav8k/min/train-100/s1/311-124404-0082_125-121124-0011.wav,/home/mkeller/data/librimix/Libri2Mix/wav8k/min/train-100/s2/311-124404-0082_125-121124-0011.wav,106840
5561-39621-0041_2384-152900-0029,/home/mkeller/data/librimix/Libri2Mix/wav8k/min/train-100/mix_clean/5561-39621-0041_2384-152900-0029.wav,/home/mkeller/data/librimix/Libri2Mix/wav8k/min/train-100/s1/5561-39621-0041_2384-152900-0029.wav,/home/mkeller/data/librimix/Libri2Mix/wav8k/min/train-100/s2/5561-39621-0041_2384-152900-0029.wav,48440
1737-142397-0012_831-130739-0057,/home/mkeller/data/librimix/Libri2Mix/wav8k/min/train-100/mix_clean/1737-142397-0012_831-130739-0057.wav,/home/mkeller/data/librimix/Libri2Mix/wav8k/min/train-100/s1/1737-142397-0012_831-130739-0057.wav,/home/mkeller/data/librimix/Libri2Mix/wav8k/min/train-100/s2/1737-142397-0012_831-130739-0057.wav,53440
4640-19187-0024_426-122821-0030,/home/mkeller/data/librimix/Libri2Mix/wav8k/min/train-100/mix_clean/4640-19187-0024_426-122821-0030.wav,/home/mkeller/data/librimix/Libri2Mix/wav8k/min/train-100/s1/4640-19187-0024_426-122821-0030.wav,/home/mkeller/data/librimix/Libri2Mix/wav8k/min/train-100/s2/4640-19187-0024_426-122821-0030.wav,80320
2836-5354-0045_481-123720-0057,/home/mkeller/data/librimix/Libri2Mix/wav8k/min/train-100/mix_clean/2836-5354-0045_481-123720-0057.wav,/home/mkeller/data/librimix/Libri2Mix/wav8k/min/train-100/s1/2836-5354-0045_481-123720-0057.wav,/home/mkeller/data/librimix/Libri2Mix/wav8k/min/train-100/s2/2836-5354-0045_481-123720-0057.wav,48360
2952-410-0030_1594-135914-0053,/home/mkeller/data/librimix/Libri2Mix/wav8k/min/train-100/mix_clean/2952-410-0030_1594-135914-0053.wav,/home/mkeller/data/librimix/Libri2Mix/wav8k/min/train-100/s1/2952-410-0030_1594-135914-0053.wav,/home/mkeller/data/librimix/Libri2Mix/wav8k/min/train-100/s2/2952-410-0030_1594-135914-0053.wav,40080
3168-173564-0032_2836-5354-0019,/home/mkeller/data/librimix/Libri2Mix/wav8k/min/train-100/mix_clean/3168-173564-0032_2836-5354-0019.wav,/home/mkeller/data/librimix/Libri2Mix/wav8k/min/train-100/s1/3168-173564-0032_2836-5354-0019.wav,/home/mkeller/data/librimix/Libri2Mix/wav8k/min/train-100/s2/3168-173564-0032_2836-5354-0019.wav,117680
248-130652-0013_5703-47198-0054,/home/mkeller/data/librimix/Libri2Mix/wav8k/min/train-100/mix_clean/248-130652-0013_5703-47198-0054.wav,/home/mkeller/data/librimix/Libri2Mix/wav8k/min/train-100/s1/248-130652-0013_5703-47198-0054.wav,/home/mkeller/data/librimix/Libri2Mix/wav8k/min/train-100/s2/248-130652-0013_5703-47198-0054.wav,115480
254-27760-0033_6415-116629-0033,/home/mkeller/data/librimix/Libri2Mix/wav8k/min/train-100/mix_clean/254-27760-0033_6415-116629-0033.wav,/home/mkeller/data/librimix/Libri2Mix/wav8k/min/train-100/s1/254-27760-0033_6415-116629-0033.wav,/home/mkeller/data/librimix/Libri2Mix/wav8k/min/train-100/s2/254-27760-0033_6415-116629-0033.wav,98200
6081-42010-0009_8629-261140-0016,/home/mkeller/data/librimix/Libri2Mix/wav8k/min/train-100/mix_clean/6081-42010-0009_8629-261140-0016.wav,/home/mkeller/data/librimix/Libri2Mix/wav8k/min/train-100/s1/6081-42010-0009_8629-261140-0016.wav,/home/mkeller/data/librimix/Libri2Mix/wav8k/min/train-100/s2/6081-42010-0009_8629-261140-0016.wav,71840
1502-122619-0021_1553-140048-0033,/home/mkeller/data/librimix/Libri2Mix/wav8k/min/train-100/mix_clean/1502-122619-0021_1553-140048-0033.wav,/home/mkeller/data/librimix/Libri2Mix/wav8k/min/train-100/s1/1502-122619-0021_1553-140048-0033.wav,/home/mkeller/data/librimix/Libri2Mix/wav8k/min/train-100/s2/1502-122619-0021_1553-140048-0033.wav,115960
2391-145015-0043_3240-131231-0016,/home/mkeller/data/librimix/Libri2Mix/wav8k/min/train-100/mix_clean/2391-145015-0043_3240-131231-0016.wav,/home/mkeller/data/librimix/Libri2Mix/wav8k/min/train-100/s1/2391-145015-0043_3240-131231-0016.wav,/home/mkeller/data/librimix/Libri2Mix/wav8k/min/train-100/s2/2391-145015-0043_3240-131231-0016.wav,118400
4214-7146-0000_8123-275193-0023,/home/mkeller/data/librimix/Libri2Mix/wav8k/min/train-100/mix_clean/4214-7146-0000_8123-275193-0023.wav,/home/mkeller/data/librimix/Libri2Mix/wav8k/min/train-100/s1/4214-7146-0000_8123-275193-0023.wav,/home/mkeller/data/librimix/Libri2Mix/wav8k/min/train-100/s2/4214-7146-0000_8123-275193-0023.wav,56000
1502-122619-0020_7794-295948-0005,/home/mkeller/data/librimix/Libri2Mix/wav8k/min/train-100/mix_clean/1502-122619-0020_7794-295948-0005.wav,/home/mkeller/data/librimix/Libri2Mix/wav8k/min/train-100/s1/1502-122619-0020_7794-295948-0005.wav,/home/mkeller/data/librimix/Libri2Mix/wav8k/min/train-100/s2/1502-122619-0020_7794-295948-0005.wav,107080
6848-252323-0027_6476-57446-0047,/home/mkeller/data/librimix/Libri2Mix/wav8k/min/train-100/mix_clean/6848-252323-0027_6476-57446-0047.wav,/home/mkeller/data/librimix/Libri2Mix/wav8k/min/train-100/s1/6848-252323-0027_6476-57446-0047.wav,/home/mkeller/data/librimix/Libri2Mix/wav8k/min/train-100/s2/6848-252323-0027_6476-57446-0047.wav,45880
322-124147-0071_6529-62554-0052,/home/mkeller/data/librimix/Libri2Mix/wav8k/min/train-100/mix_clean/322-124147-0071_6529-62554-0052.wav,/home/mkeller/data/librimix/Libri2Mix/wav8k/min/train-100/s1/322-124147-0071_6529-62554-0052.wav,/home/mkeller/data/librimix/Libri2Mix/wav8k/min/train-100/s2/322-124147-0071_6529-62554-0052.wav,56440
2416-152139-0043_3879-173592-0027,/home/mkeller/data/librimix/Libri2Mix/wav8k/min/train-100/mix_clean/2416-152139-0043_3879-173592-0027.wav,/home/mkeller/data/librimix/Libri2Mix/wav8k/min/train-100/s1/2416-152139-0043_3879-173592-0027.wav,/home/mkeller/data/librimix/Libri2Mix/wav8k/min/train-100/s2/2416-152139-0043_3879-173592-0027.wav,105400
