output_filename,s1_path,s2_path
01to030v_0.76421_20ga010m_-0.76421.wav,wsj0/si_tr_s/01t/01to030v.wav,wsj0/si_tr_s/20g/20ga010m.wav
40ec020o_1.3218_20ca010n_-1.3218.wav,wsj0/si_tr_s/40e/40ec020o.wav,wsj0/si_tr_s/20c/20ca010n.wav
20lo010m_0.13154_01mc020p_-0.13154.wav,wsj0/si_tr_s/20l/20lo010m.wav,wsj0/si_tr_s/01m/01mc020p.wav
02bc0206_1.1297_01ta0107_-1.1297.wav,wsj0/si_tr_s/02b/02bc0206.wav,wsj0/si_tr_s/01t/01ta0107.wav
01ea010c_0.67547_20la010h_-0.67547.wav,wsj0/si_tr_s/01e/01ea010c.wav,wsj0/si_tr_s/20l/20la010h.wav
20ba010t_0.66115_025o0304_-0.66115.wav,wsj0/si_tr_s/20b/20ba010t.wav,wsj0/si_tr_s/025/025o0304.wav
40oo030x_1.0228_016a010p_-1.0228.wav,wsj0/si_tr_s/40o/40oo030x.wav,wsj0/si_tr_s/016/016a010p.wav
408c021e_1.5868_406a010d_-1.5868.wav,wsj0/si_tr_s/408/408c021e.wav,wsj0/si_tr_s/406/406a010d.wav
40fc0201_1.9564_017o030p_-1.9564.wav,wsj0/si_tr_s/40f/40fc0201.wav,wsj0/si_tr_s/017/017o030p.wav
01go0313_0.87834_40lc020q_-0.87834.wav,wsj0/si_tr_s/01g/01go0313.wav,wsj0/si_tr_s/40l/40lc020q.wav
20qc010k_2.3831_20ic010b_-2.3831.wav,wsj0/si_tr_s/20q/20qc010k.wav,wsj0/si_tr_s/20i/20ic010b.wav
407a010o_0.11303_401a010j_-0.11303.wav,wsj0/si_tr_s/407/407a010o.wav,wsj0/si_tr_s/401/401a010j.wav
20na0103_1.8044_01sa0102_-1.8044.wav,wsj0/si_tr_s/20n/20na0103.wav,wsj0/si_tr_s/01s/01sa0102.wav
406a0110_0.10508_40po030t_-0.10508.wav,wsj0/si_tr_s/406/406a0110.wav,wsj0/si_tr_s/40p/40po030t.wav
40fo030a_1.9655_40ka0114_-1.9655.wav,wsj0/si_tr_s/40f/40fo030a.wav,wsj0/si_tr_s/40k/40ka0114.wav
013o0310_1.4554_20qc010e_-1.4554.wav,wsj0/si_tr_s/013/013o0310.wav,wsj0/si_tr_s/20q/20qc010e.wav
016o030s_1.2538_01io0310_-1.2538.wav,wsj0/si_tr_s/016/016o030s.wav,wsj0/si_tr_s/01i/01io0310.wav
40gc020m_0.50294_20ua010z_-0.50294.wav,wsj0/si_tr_s/40g/40gc020m.wav,wsj0/si_tr_s/20u/20ua010z.wav
40cc0205_1.9427_01ga0107_-1.9427.wav,wsj0/si_tr_s/40c/40cc0205.wav,wsj0/si_tr_s/01g/01ga0107.wav
406o0310_2.1274_209o010o_-2.1274.wav,wsj0/si_tr_s/406/406o0310.wav,wsj0/si_tr_s/209/209o010o.wav
40eo030g_0.54807_017c0210_-0.54807.wav,wsj0/si_tr_s/40e/40eo030g.wav,wsj0/si_tr_s/017/017c0210.wav
024c0202_0.077249_022a010v_-0.077249.wav,wsj0/si_tr_s/024/024c0202.wav,wsj0/si_tr_s/022/022a010v.wav
01jc020b_1.8244_016o0313_-1.8244.wav,wsj0/si_tr_s/01j/01jc020b.wav,wsj0/si_tr_s/016/016o0313.wav
40ic020x_1.3084_20oo0106_-1.3084.wav,wsj0/si_tr_s/40i/40ic020x.wav,wsj0/si_tr_s/20o/20oo0106.wav
20na010y_0.39839_029a010l_-0.39839.wav,wsj0/si_tr_s/20n/20na010y.wav,wsj0/si_tr_s/029/029a010l.wav
01ao0312_1.6447_20ao0102_-1.6447.wav,wsj0/si_tr_s/01a/01ao0312.wav,wsj0/si_tr_s/20a/20ao0102.wav
204o0109_0.45414_01ra0111_-0.45414.wav,wsj0/si_tr_s/204/204o0109.wav,wsj0/si_tr_s/01r/01ra0111.wav
20bo0106_0.84018_01wo030z_-0.84018.wav,wsj0/si_tr_s/20b/20bo0106.wav,wsj0/si_tr_s/01w/01wo030z.wav
01lo030u_2.1317_209a010u_-2.1317.wav,wsj0/si_tr_s/01l/01lo030u.wav,wsj0/si_tr_s/209/209a010u.wav
01ko030v_2.0083_019a0105_-2.0083.wav,wsj0/si_tr_s/01k/01ko030v.wav,wsj0/si_tr_s/019/019a0105.wav
01da010w_2.4789_20ja010v_-2.4789.wav,wsj0/si_tr_s/01d/01da010w.wav,wsj0/si_tr_s/20j/20ja010v.wav
20rc0108_1.7956_027o030p_-1.7956.wav,wsj0/si_tr_s/20r/20rc0108.wav,wsj0/si_tr_s/027/027o030p.wav
40hc020g_1.9303_40oa010i_-1.9303.wav,wsj0/si_tr_s/40h/40hc020g.wav,wsj0/si_tr_s/40o/40oa010i.wav
20ga010c_2.333_40oo030b_-2.333.wav,wsj0/si_tr_s/20g/20ga010c.wav,wsj0/si_tr_s/40o/40oo030b.wav
029c020t_0.79885_01bo0312_-0.79885.wav,wsj0/si_tr_s/029/029c020t.wav,wsj0/si_tr_s/01b/01bo0312.wav
20mc010h_2.2427_20ho0102_-2.2427.wav,wsj0/si_tr_s/20m/20mc010h.wav,wsj0/si_tr_s/20h/20ho0102.wav
20qa0112_1.9703_013c020h_-1.9703.wav,wsj0/si_tr_s/20q/20qa0112.wav,wsj0/si_tr_s/013/013c020h.wav
20gc010k_1.0331_01oo0318_-1.0331.wav,wsj0/si_tr_s/20g/20gc010k.wav,wsj0/si_tr_s/01o/01oo0318.wav
01oo0318_2.2401_01rc020s_-2.2401.wav,wsj0/si_tr_s/01o/01oo0318.wav,wsj0/si_tr_s/01r/01rc020s.wav
20ma010a_2.2252_404a0113_-2.2252.wav,wsj0/si_tr_s/20m/20ma010a.wav,wsj0/si_tr_s/404/404a0113.wav
20cc0102_0.31443_01dc020b_-0.31443.wav,wsj0/si_tr_s/20c/20cc0102.wav,wsj0/si_tr_s/01d/01dc020b.wav
02ac020d_0.7149_01wo030s_-0.7149.wav,wsj0/si_tr_s/02a/02ac020d.wav,wsj0/si_tr_s/01w/01wo030s.wav
028a010i_1.9025_208a010p_-1.9025.wav,wsj0/si_tr_s/028/028a010i.wav,wsj0/si_tr_s/208/208a010p.wav
01so030j_1.0471_40jo031f_-1.0471.wav,wsj0/si_tr_s/01s/01so030j.wav,wsj0/si_tr_s/40j/40jo031f.wav
016o031f_1.4357_20ha010p_-1.4357.wav,wsj0/si_tr_s/016/016o031f.wav,wsj0/si_tr_s/20h/20ha010p.wav
40ao030w_2.4697_20vc010a_-2.4697.wav,wsj0/si_tr_s/40a/40ao030w.wav,wsj0/si_tr_s/20v/20vc010a.wav
20hc010m_1.6384_40ka010d_-1.6384.wav,wsj0/si_tr_s/20h/20hc010m.wav,wsj0/si_tr_s/40k/40ka010d.wav
02ec0213_0.78627_20oa0113_-0.78627.wav,wsj0/si_tr_s/02e/02ec0213.wav,wsj0/si_tr_s/20o/20oa0113.wav
02ac020z_0.39811_40nc020r_-0.39811.wav,wsj0/si_tr_s/02a/02ac020z.wav,wsj0/si_tr_s/40n/40nc020r.wav
012a0108_2.4679_023o0316_-2.4679.wav,wsj0/si_tr_s/012/012a0108.wav,wsj0/si_tr_s/023/023o0316.wav
01to030t_1.0846_019a010z_-1.0846.wav,wsj0/si_tr_s/01t/01to030t.wav,wsj0/si_tr_s/019/019a010z.wav
01vo0301_0.87121_018o030i_-0.87121.wav,wsj0/si_tr_s/01v/01vo0301.wav,wsj0/si_tr_s/018/018o030i.wav
028o030d_2.3669_20pc010l_-2.3669.wav,wsj0/si_tr_s/028/028o030d.wav,wsj0/si_tr_s/20p/20pc010l.wav
408o030o_2.0366_20qc0106_-2.0366.wav,wsj0/si_tr_s/408/408o030o.wav,wsj0/si_tr_s/20q/20qc0106.wav
01jc020c_0.5982_024c020t_-0.5982.wav,wsj0/si_tr_s/01j/01jc020c.wav,wsj0/si_tr_s/024/024c020t.wav
20kc010n_0.11278_40fa010q_-0.11278.wav,wsj0/si_tr_s/20k/20kc010n.wav,wsj0/si_tr_s/40f/40fa010q.wav
016c020h_0.81394_40ma0101_-0.81394.wav,wsj0/si_tr_s/016/016c020h.wav,wsj0/si_tr_s/40m/40ma0101.wav
20io010i_0.88003_01qa010t_-0.88003.wav,wsj0/si_tr_s/20i/20io010i.wav,wsj0/si_tr_s/01q/01qa010t.wav
20ea0101_1.7086_01fo0315_-1.7086.wav,wsj0/si_tr_s/20e/20ea0101.wav,wsj0/si_tr_s/01f/01fo0315.wav
403o030r_1.8807_20ca010b_-1.8807.wav,wsj0/si_tr_s/403/403o030r.wav,wsj0/si_tr_s/20c/20ca010b.wav
20ha0113_1.9943_017o030u_-1.9943.wav,wsj0/si_tr_s/20h/20ha0113.wav,wsj0/si_tr_s/017/017o030u.wav
01bo030q_0.11999_01ca010t_-0.11999.wav,wsj0/si_tr_s/01b/01bo030q.wav,wsj0/si_tr_s/01c/01ca010t.wav
20pa0102_2.0213_20ia010h_-2.0213.wav,wsj0/si_tr_s/20p/20pa0102.wav,wsj0/si_tr_s/20i/20ia010h.wav
405c020p_1.5985_01fo0314_-1.5985.wav,wsj0/si_tr_s/405/405c020p.wav,wsj0/si_tr_s/01f/01fo0314.wav
403c0210_1.5385_40hc0214_-1.5385.wav,wsj0/si_tr_s/403/403c0210.wav,wsj0/si_tr_s/40h/40hc0214.wav
01pc020h_1.7597_029o030f_-1.7597.wav,wsj0/si_tr_s/01p/01pc020h.wav,wsj0/si_tr_s/029/029o030f.wav
20ea010t_1.9424_02bo030a_-1.9424.wav,wsj0/si_tr_s/20e/20ea010t.wav,wsj0/si_tr_s/02b/02bo030a.wav
405o030e_1.4762_20uo010m_-1.4762.wav,wsj0/si_tr_s/405/405o030e.wav,wsj0/si_tr_s/20u/20uo010m.wav
40cc020i_0.97471_01mo030s_-0.97471.wav,wsj0/si_tr_s/40c/40cc020i.wav,wsj0/si_tr_s/01m/01mo030s.wav
208a010y_1.0805_40oo0308_-1.0805.wav,wsj0/si_tr_s/208/208a010y.wav,wsj0/si_tr_s/40o/40oo0308.wav
