output_filename,s1_path,s2_path
40na010x_1.9857_01xo031a_-1.9857.wav,wsj0/si_tr_s/40n/40na010x.wav,wsj0/si_tr_s/01x/01xo031a.wav
020c0211_0.44692_40mc021b_-0.44692.wav,wsj0/si_tr_s/020/020c0211.wav,wsj0/si_tr_s/40m/40mc021b.wav
01do030h_1.6205_024o030m_-1.6205.wav,wsj0/si_tr_s/01d/01do030h.wav,wsj0/si_tr_s/024/024o030m.wav
20uo010f_2.3772_022c020k_-2.3772.wav,wsj0/si_tr_s/20u/20uo010f.wav,wsj0/si_tr_s/022/022c020k.wav
20aa010c_1.617_01jc020s_-1.617.wav,wsj0/si_tr_s/20a/20aa010c.wav,wsj0/si_tr_s/01j/01jc020s.wav
40jc0216_2.2526_40ha010s_-2.2526.wav,wsj0/si_tr_s/40j/40jc0216.wav,wsj0/si_tr_s/40h/40ha010s.wav
20qa010h_1.7552_013o0312_-1.7552.wav,wsj0/si_tr_s/20q/20qa010h.wav,wsj0/si_tr_s/013/013o0312.wav
028o031d_0.75963_01ca010d_-0.75963.wav,wsj0/si_tr_s/028/028o031d.wav,wsj0/si_tr_s/01c/01ca010d.wav
40bo0319_1.5155_01uc0201_-1.5155.wav,wsj0/si_tr_s/40b/40bo0319.wav,wsj0/si_tr_s/01u/01uc0201.wav
20ia010n_1.3886_028a010m_-1.3886.wav,wsj0/si_tr_s/20i/20ia010n.wav,wsj0/si_tr_s/028/028a010m.wav
01xo0302_0.13399_02do030v_-0.13399.wav,wsj0/si_tr_s/01x/01xo0302.wav,wsj0/si_tr_s/02d/02do030v.wav
026a010b_1.2413_20cc010b_-1.2413.wav,wsj0/si_tr_s/026/026a010b.wav,wsj0/si_tr_s/20c/20cc010b.wav
20la0108_2.1194_02da010f_-2.1194.wav,wsj0/si_tr_s/20l/20la0108.wav,wsj0/si_tr_s/02d/02da010f.wav
20oa0105_0.8852_40ha010z_-0.8852.wav,wsj0/si_tr_s/20o/20oa0105.wav,wsj0/si_tr_s/40h/40ha010z.wav
20va010a_1.6058_404o0313_-1.6058.wav,wsj0/si_tr_s/20v/20va010a.wav,wsj0/si_tr_s/404/404o0313.wav
01ka010f_2.4256_20ia0103_-2.4256.wav,wsj0/si_tr_s/01k/01ka010f.wav,wsj0/si_tr_s/20i/20ia0103.wav
