output_filename,s1_path,s2_path
445c0206_0.60431_22gc0105_-0.60431.wav,wsj0/si_et_05/445/445c0206.wav,wsj0/si_dt_05/22g/22gc0105.wav
420c020h_1.1139_442c0203_-1.1139.wav,wsj0/si_dt_05/420/420c020h.wav,wsj0/si_et_05/442/442c0203.wav
22go0107_0.079969_051c010u_-0.079969.wav,wsj0/si_dt_05/22g/22go0107.wav,wsj0/si_dt_05/051/051c010u.wav
444o0314_2.1819_053o020e_-2.1819.wav,wsj0/si_et_05/444/444o0314.wav,wsj0/si_dt_05/053/053o020e.wav
423o0304_1.419_420c020x_-1.419.wav,wsj0/si_dt_05/423/423o0304.wav,wsj0/si_dt_05/420/420c020x.wav
423o030b_1.4753_053o0209_-1.4753.wav,wsj0/si_dt_05/423/423o030b.wav,wsj0/si_dt_05/053/053o0209.wav
441o030o_1.9903_445c020y_-1.9903.wav,wsj0/si_et_05/441/441o030o.wav,wsj0/si_et_05/445/445c020y.wav
22ga010u_0.43921_443o030l_-0.43921.wav,wsj0/si_dt_05/22g/22ga010u.wav,wsj0/si_et_05/443/443o030l.wav
444o030e_0.90493_443o0304_-0.90493.wav,wsj0/si_et_05/444/444o030e.wav,wsj0/si_et_05/443/443o0304.wav
440c0209_1.2048_421a0104_-1.2048.wav,wsj0/si_et_05/440/440c0209.wav,wsj0/si_dt_05/421/421a0104.wav
445c020u_0.78863_443o030p_-0.78863.wav,wsj0/si_et_05/445/445c020u.wav,wsj0/si_et_05/443/443o030p.wav
440c020t_2.1632_053o020y_-2.1632.wav,wsj0/si_et_05/440/440c020t.wav,wsj0/si_dt_05/053/053o020y.wav
440c0213_1.7151_441o030b_-1.7151.wav,wsj0/si_et_05/440/440c0213.wav,wsj0/si_et_05/441/441o030b.wav
052a0513_1.7991_053a050f_-1.7991.wav,wsj0/si_dt_05/052/052a0513.wav,wsj0/si_dt_05/053/053a050f.wav
22gc0112_0.36454_445c0207_-0.36454.wav,wsj0/si_dt_05/22g/22gc0112.wav,wsj0/si_et_05/445/445c0207.wav
421c020x_2.4971_444c020n_-2.4971.wav,wsj0/si_dt_05/421/421c020x.wav,wsj0/si_et_05/444/444c020n.wav
053a050f_0.93264_443o0314_-0.93264.wav,wsj0/si_dt_05/053/053a050f.wav,wsj0/si_et_05/443/443o0314.wav
22ha0103_1.0593_422c020y_-1.0593.wav,wsj0/si_dt_05/22h/22ha0103.wav,wsj0/si_dt_05/422/422c020y.wav
421c0212_1.0287_423a0104_-1.0287.wav,wsj0/si_dt_05/421/421c0212.wav,wsj0/si_dt_05/423/423a0104.wav
444c020o_0.97641_421a010s_-0.97641.wav,wsj0/si_et_05/444/444c020o.wav,wsj0/si_dt_05/421/421a010s.wav
052o020m_0.40731_441o030l_-0.40731.wav,wsj0/si_dt_05/052/052o020m.wav,wsj0/si_et_05/441/441o030l.wav
052a050i_2.4816_445c0211_-2.4816.wav,wsj0/si_dt_05/052/052a050i.wav,wsj0/si_et_05/445/445c0211.wav
053c010z_0.70111_422o030x_-0.70111.wav,wsj0/si_dt_05/053/053c010z.wav,wsj0/si_dt_05/422/422o030x.wav
053o020k_1.3781_22go0111_-1.3781.wav,wsj0/si_dt_05/053/053o020k.wav,wsj0/si_dt_05/22g/22go0111.wav
422o0304_0.13358_052a050o_-0.13358.wav,wsj0/si_dt_05/422/422o0304.wav,wsj0/si_dt_05/052/052a050o.wav
442o0306_2.3923_053a0506_-2.3923.wav,wsj0/si_et_05/442/442o0306.wav,wsj0/si_dt_05/053/053a0506.wav
22gc010h_2.0104_420c020j_-2.0104.wav,wsj0/si_dt_05/22g/22gc010h.wav,wsj0/si_dt_05/420/420c020j.wav
22hc010z_0.087779_22gc010x_-0.087779.wav,wsj0/si_dt_05/22h/22hc010z.wav,wsj0/si_dt_05/22g/22gc010x.wav
443o0313_0.61777_053c010u_-0.61777.wav,wsj0/si_et_05/443/443o0313.wav,wsj0/si_dt_05/053/053c010u.wav
22ho010w_2.007_051c010o_-2.007.wav,wsj0/si_dt_05/22h/22ho010w.wav,wsj0/si_dt_05/051/051c010o.wav
421a0105_1.0119_423a010m_-1.0119.wav,wsj0/si_dt_05/421/421a0105.wav,wsj0/si_dt_05/423/423a010m.wav
445o030t_1.4592_22hc010b_-1.4592.wav,wsj0/si_et_05/445/445o030t.wav,wsj0/si_dt_05/22h/22hc010b.wav
442c0215_0.24366_446o0302_-0.24366.wav,wsj0/si_et_05/442/442c0215.wav,wsj0/si_et_05/446/446o0302.wav
441o0313_2.0048_440c0204_-2.0048.wav,wsj0/si_et_05/441/441o0313.wav,wsj0/si_et_05/440/440c0204.wav
051o020a_2.3917_423o030s_-2.3917.wav,wsj0/si_dt_05/051/051o020a.wav,wsj0/si_dt_05/423/423o030s.wav
447c020a_0.25387_050a050h_-0.25387.wav,wsj0/si_et_05/447/447c020a.wav,wsj0/si_dt_05/050/050a050h.wav
440o0303_2.2059_443o0304_-2.2059.wav,wsj0/si_et_05/440/440o0303.wav,wsj0/si_et_05/443/443o0304.wav
445c020b_1.9232_422o0309_-1.9232.wav,wsj0/si_et_05/445/445c020b.wav,wsj0/si_dt_05/422/422o0309.wav
22ha010r_0.1879_446c020o_-0.1879.wav,wsj0/si_dt_05/22h/22ha010r.wav,wsj0/si_et_05/446/446c020o.wav
444c020u_1.0117_053a050x_-1.0117.wav,wsj0/si_et_05/444/444c020u.wav,wsj0/si_dt_05/053/053a050x.wav
445o030g_0.89549_421c0202_-0.89549.wav,wsj0/si_et_05/445/445o030g.wav,wsj0/si_dt_05/421/421c0202.wav
444c0203_2.4753_445c020c_-2.4753.wav,wsj0/si_et_05/444/444c0203.wav,wsj0/si_et_05/445/445c020c.wav
050o0203_0.11331_443c020r_-0.11331.wav,wsj0/si_dt_05/050/050o0203.wav,wsj0/si_et_05/443/443c020r.wav
444c020v_1.5892_423o030e_-1.5892.wav,wsj0/si_et_05/444/444c020v.wav,wsj0/si_dt_05/423/423o030e.wav
441o030w_0.56176_053o020d_-0.56176.wav,wsj0/si_et_05/441/441o030w.wav,wsj0/si_dt_05/053/053o020d.wav
440c0214_1.4652_051o020w_-1.4652.wav,wsj0/si_et_05/440/440c0214.wav,wsj0/si_dt_05/051/051o020w.wav
22gc0114_0.048137_422o0303_-0.048137.wav,wsj0/si_dt_05/22g/22gc0114.wav,wsj0/si_dt_05/422/422o0303.wav
443c020s_1.8007_446o0312_-1.8007.wav,wsj0/si_et_05/443/443c020s.wav,wsj0/si_et_05/446/446o0312.wav
442c020i_0.010825_443o030x_-0.010825.wav,wsj0/si_et_05/442/442c020i.wav,wsj0/si_et_05/443/443o030x.wav
22ga010e_0.51468_051c0115_-0.51468.wav,wsj0/si_dt_05/22g/22ga010e.wav,wsj0/si_dt_05/051/051c0115.wav
446c020r_1.1168_423c020u_-1.1168.wav,wsj0/si_et_05/446/446c020r.wav,wsj0/si_dt_05/423/423c020u.wav
446o030k_1.7305_051c010w_-1.7305.wav,wsj0/si_et_05/446/446o030k.wav,wsj0/si_dt_05/051/051c010w.wav
053o020r_0.21241_050a050n_-0.21241.wav,wsj0/si_dt_05/053/053o020r.wav,wsj0/si_dt_05/050/050a050n.wav
444c0203_1.2986_053c010n_-1.2986.wav,wsj0/si_et_05/444/444c0203.wav,wsj0/si_dt_05/053/053c010n.wav
446o0319_2.2664_447c0210_-2.2664.wav,wsj0/si_et_05/446/446o0319.wav,wsj0/si_et_05/447/447c0210.wav
420o030k_2.2026_440o030s_-2.2026.wav,wsj0/si_dt_05/420/420o030k.wav,wsj0/si_et_05/440/440o030s.wav
421o0307_1.5505_420o0301_-1.5505.wav,wsj0/si_dt_05/421/421o0307.wav,wsj0/si_dt_05/420/420o0301.wav
051a050c_0.4903_443o030h_-0.4903.wav,wsj0/si_dt_05/051/051a050c.wav,wsj0/si_et_05/443/443o030h.wav
22gc010v_0.76199_050a050i_-0.76199.wav,wsj0/si_dt_05/22g/22gc010v.wav,wsj0/si_dt_05/050/050a050i.wav
051o020c_0.27109_445o0305_-0.27109.wav,wsj0/si_dt_05/051/051o020c.wav,wsj0/si_et_05/445/445o0305.wav
